#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
BS_3J179Q27	EUR		0.0000	0.0000	0.0362	0.0000	0.9638	-1.4244	10.0327	4.6426	7.1291	-2.5563	0.9227	2.9398	-2.3347	3.6094	0.2465
BS_3J4T2YYW	AFR		0.0000	0.9900	0.0100	0.0000	0.0000	42.5735	-8.2444	1.8097	2.5899	-2.7499	0.2542	0.4789	-0.9237	4.6745	-0.9656
BS_3JE2T7AR	EUR		0.0000	0.0000	0.2859	0.0000	0.7141	-0.7911	6.8419	5.2757	2.1153	-4.9687	0.5468	0.6382	-0.8912	4.7303	-0.8226
BS_3X8GAQ2M	SAS		0.0000	0.0000	0.0000	1.0000	0.0000	2.9197	-9.2869	-21.1948	-3.4207	-3.0860	-2.5815	0.4607	-1.0842	4.4641	0.2378
BS_3YXGSTJ7	EUR		0.0000	0.0000	0.0300	0.0000	0.9700	1.5574	10.9200	4.9777	8.9251	-3.9201	-0.8132	3.1460	-1.0426	3.6567	-0.7072
BS_3ZASRA3A	EUR		0.0000	0.0000	0.0631	0.0000	0.9369	1.9001	10.7837	3.8803	5.9975	-2.7105	-0.4891	1.1711	-0.9281	4.1857	-1.2172
BS_408757Q1	EUR		0.0000	0.0000	0.0130	0.0000	0.9870	0.6663	13.2596	5.7451	9.1344	-2.4215	-0.5659	2.5279	-3.1083	5.4106	-1.0865
BS_40FX713C	EUR		0.0000	0.0000	0.0066	0.0000	0.9934	-3.1071	11.9835	3.0782	10.7333	-3.0290	-0.8911	1.8276	-0.5925	4.3507	-2.4427
BS_43F0DV8Y	EUR		0.0000	0.0000	0.0284	0.0000	0.9716	3.4968	12.9168	3.8537	8.1047	-2.9181	-3.2429	3.2010	-1.3644	4.3066	-1.8520
BS_44WJZ1HP	EAS		0.9889	0.0000	0.0111	0.0000	0.0000	-3.2401	-14.7511	2.1396	6.7527	-4.7617	-1.3510	2.2125	0.7569	3.0137	0.5828
BS_44WMSY17	EUR		0.0000	0.0000	0.0445	0.0000	0.9555	3.0549	11.5138	4.5971	8.6316	-2.9187	-2.3914	0.4792	0.3478	2.5880	-0.5610
BS_45N760PZ	EUR		0.0000	0.0000	0.0631	0.0000	0.9369	3.4084	10.1017	3.2682	7.9092	-2.0045	-3.2315	0.9605	-2.0242	3.3314	-1.7661
BS_45VHDFRD	EUR		0.0000	0.0000	0.0119	0.0000	0.9881	-0.1903	11.5892	4.8725	10.5406	-3.1100	0.7439	1.1943	-0.7636	3.9217	-1.9035
BS_470XJZ9G	EUR		0.0000	0.0000	0.1123	0.0000	0.8877	4.3409	10.5577	4.3795	6.7953	-0.7787	-4.3463	1.9248	-1.2421	3.7285	0.6208
BS_47454JJ6	EUR		0.0000	0.0000	0.0282	0.0000	0.9718	1.0816	12.1819	4.9006	7.5235	-3.3656	0.3532	0.3216	-1.1059	3.4618	-1.5507
BS_49Z8WJP2	EUR		0.0000	0.0000	0.0354	0.0000	0.9646	-0.9912	8.9358	2.9702	9.3967	-3.2323	-3.0996	2.2694	0.2735	3.7702	-1.2170
BS_4AM9C504	EAS		0.9999	0.0000	0.0001	0.0000	0.0000	-3.0656	-22.0383	1.4844	8.7480	-2.8144	0.4296	2.8075	-0.8569	4.1552	-0.0618
